	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
Number of genes	18188	15130	14612	17701	17244	13936	15064	14558	13266
Number of genes in orthogroups	15771	13856	13210	15990	15475	13767	14926	13907	13206
Number of unassigned genes 	2417	1274	1402	1711	1769	169	138	651	60
Percentage of genes in orthogroups (%)	86.7	91.6	90.4	90.3	89.7	98.8	99.1	95.5	99.5
Percentage of unassigned genes (%) 	13.3	8.4	9.6	9.7	10.3	1.2	0.9	4.5	0.5
Number of orthogroups containing species	11698	11586	9872	11203	11202	10863	11012	10600	10765
Percentage of orthogroups containing species (%)	82.6	81.8	69.7	79.1	79.1	76.7	77.7	74.8	76
Number of species-specific orthogroups	167	52	105	147	111	34	58	30	18
Number of genes in species-specific orthogroups	645	159	300	1038	421	111	422	139	51
Percentage of genes in species-specific orthogroups (%)	3.5	1.1	2.1	5.9	2.4	0.8	2.8	1	0.4